"Informazioni cronologiche","Quale categoria di app utilizzi maggiormente?","In quali momenti della giornata utilizzi maggiormente lo smartphone? ","Quante ore al giorno usi lo smartphone?","In che misura l’uso dello smartphone ha un impatto sulla gestione delle tue attività quotidiane o dei tuoi impegni?","Hai notato se alcune notifiche ti fanno mettere in pausa quello che stai facendo? se sì, quali?","Che tipo di suggerimenti ti piacerebbe ricevere dall'app?","Ti capita mai di renderti conto che il tempo sullo smartphone è passato più velocemente di quanto pensavi?","In alcune occasioni, l’uso dello smartphone ha modificato i tuoi tempi o le tue priorità durante la giornata?","Durante i pasti, riponi lo smartphone sul tavolo?","Commenti e suggerimenti"
"2025/06/16 10:47:07 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","5+ ore al giorno","Abbastanza","Notifiche dai social;Messaggi o chat","Seleziona tu i tuoi interessi","Sempre","Si","Si","Ne sono dipendente, probabilmente come il 99% delle persone"
"2025/06/16 10:51:52 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","No","No",""
"2025/06/16 10:55:19 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","1-3 ore al giorno","Abbastanza","Notifiche dai social;Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","No","Si",""
"2025/06/16 11:00:25 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","3-5 ore al giorno","Molto","Messaggi o chat","Sfide o missioni giornaliere","Sempre","No","Si",""
"2025/06/16 11:03:04 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere;Seleziona tu i tuoi interessi","Spesso","Si","Si",""
"2025/06/16 11:04:51 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","Si","Si",""
"2025/06/16 11:07:51 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause;Durante i pasti;Prima di dormire","1-3 ore al giorno","Poco","Messaggi o chat;Giochi o app di intrattenimento","Seleziona tu i tuoi interessi","Qualche volta","No","No",""
"2025/06/16 11:08:05 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","1-3 ore al giorno","Abbastanza","Messaggi o chat;Promemoria o avvisi di calendario","Seleziona tu i tuoi interessi","Qualche volta","Si","Si",""
"2025/06/16 11:35:00 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","5+ ore al giorno","Abbastanza","Notifiche dai social;Promemoria o avvisi di calendario","Suggerimenti predefiniti;Seleziona tu i tuoi interessi","Qualche volta","No","Si",""
"2025/06/16 11:36:15 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Molto","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","Si","Si",""
